inspection_id,plant_id,inspected_on,inspected_units,defective_units,unit_cost
CLN-001,CL-N,2026-09-01,120,3,4.25
CLN-002,CL-N,2026-09-01,0,0,4.25
CLN-003,CL-N,2026-09-02,twelve,0,4.25
CLN-004,CL-N,2026-09-02,,1,4.25
CLN-005,CL-N,2026-09-02,-5,0,4.25
CLN-006,CL-N,2026-09-03,40,45,4.25
CLN-007,CL-N,2026/09/03,10,1,4.25
CLN-008,CL-N,2026-09-03, 15 ,2,
CLN-009,CL-N,2026-09-04,12.0,1,4.25
,CL-N,2026-09-04,9,0,4.25
CLN-011,CL-N,2026-09-04,30,2,"4,25"
CLN-001,CL-N,2026-09-01,120,3,4.25
CLN-008,CL-N,2026-09-03,16,2,
CLN-014,CL-N,2026-09-05,200,4,3.90
CLN-015,CL-N,2026-09-05,-10,-1,4.25
