machine_id,observed_at,ingested_at,temp_c,vibration_mm_s
PR-01,2026-03-02T06:30:00Z,2026-03-02T06:32:00Z,70.0,2.0
PR-01,2026-03-02T07:10:00Z,2026-03-02T07:12:00Z,72.0,2.4
PR-01,2026-03-02T07:50:00Z,2026-03-02T07:52:00Z,74.0,2.6
PR-01,2026-03-02T08:30:00Z,2026-03-02T08:32:00Z,76.0,3.0
PR-01,2026-03-02T09:10:00Z,2026-03-02T09:12:00Z,78.0,3.4
PR-01,2026-03-02T10:30:00Z,2026-03-02T10:32:00Z,82.0,4.4
PR-01,2026-03-02T11:10:00Z,2026-03-02T11:12:00Z,85.0,5.1
PR-01,2026-03-02T11:50:00Z,2026-03-02T11:52:00Z,88.0,5.8
PR-02,2026-03-02T06:30:00Z,2026-03-02T06:32:00Z,65.0,1.8
PR-02,2026-03-02T07:50:00Z,2026-03-02T07:52:00Z,66.0,1.6
PR-02,2026-03-02T08:30:00Z,2026-03-02T08:32:00Z,68.0,1.7
PR-02,2026-03-02T09:10:00Z,2026-03-02T09:12:00Z,70.0,
PR-02,2026-03-02T10:00:00Z,2026-03-02T10:02:00Z,72.0,1.9
PR-03,2026-03-02T09:10:00Z,2026-03-02T09:12:00Z,60.0,
PR-03,2026-03-02T09:50:00Z,2026-03-02T09:52:00Z,62.0,
