system_id,name,business_unit,hosting,category,workload_type,data_classification,residency_constraint,owner_role,users_or_consumers,refresh_or_latency_need,approx_size_gb,criticality,documented_dependency_count,notes
NB-ERP-01,Northbrook ERP (fictional),Northbrook,on-premises (Ashcombe data centre),source system,transactional,confidential,none,ERP platform owner,2000,n/a (source),1200,high,2,"Order-to-cash, procurement, inventory. Nightly extract to NB-DW-01; receives daily pricing export."
NB-DW-01,Granite Enterprise Warehouse (fictional appliance),Northbrook,on-premises (Ashcombe data centre),warehouse,batch SQL,confidential,none,Data platform lead,,nightly by 06:00,18000,high,10,Support contract renewal: see disclosures. Hosts the group product and price master (GRP-MDM-01) and MES staging.
NB-ETL-01,Conduit nightly job suite (fictional),Northbrook,on-premises (Ashcombe data centre),pipeline,batch,confidential,none,Data platform lead,,nightly window 22:00-05:30,,high,0,About 640 scheduled jobs. Reader count per job unknown until query logs are read.
NB-BI-01,Beacon group BI service (fictional),Northbrook,Azure,BI,interactive,confidential,none,BI lead,300,daily refresh 06:30,,high,2,40 certified dashboards; semantic model with about 120 measures; 12 finance dashboards reconcile to the close pack monthly.
NB-AZ-SQL,Azure reporting database,Northbrook,Azure,serving store,batch load + interactive,confidential,none,Data platform lead,,nightly load 05:45,900,high,2,Loaded from Granite extracts via NB-AZ-LAKE. Only Beacon reads it today.
NB-AZ-LAKE,Azure landing storage,Northbrook,Azure,storage,batch,confidential,none,Data platform lead,,nightly,3000,medium,2,Extract files from Granite; 90-day retention.
NB-FIN-01,Finance close pack,Northbrook,on-premises (user workstations),reporting,monthly,confidential-financial,none,Group financial controller,8,monthly close (working days 1-5),,high,1,Spreadsheet macros read Granite views over ODBC. Month-end and year-end critical.
NB-MES-ASH,Ashcombe MES,Northbrook,on-premises (Ashcombe plant),source system,event stream,internal,none,Plant IT lead,,continuous (about 1200 events/min),,high,1,Drops event files to Granite staging every 15 minutes.
NB-MES-COR,Corvane MES,Northbrook,on-premises (Corvane plant),source system,event stream,internal,none,Plant IT lead,,continuous (about 700 events/min),,high,1,Drops event files to Granite staging every 15 minutes.
NB-DASH-01,Line Pulse plant-floor dashboard,Northbrook (Ashcombe),on-premises plant screens reading NB-DW-01 staging,BI,near-real-time,internal,none,Ashcombe plant manager,45,"""real time"" per CIO memo; actual need not defined",,high,1,Refreshes every 15 minutes today. End-to-end delay never measured.
NB-HIST-01,Process historian,Northbrook,on-premises (Ashcombe data centre),source system,time series,internal,none,Process engineering lead,12,continuous,40000,medium,0,Five years of tag history. No analytics consumer outside engineering tools today.
NB-CRM-01,CRM (SaaS),Northbrook,external SaaS,source system,nightly extract,confidential,none,Sales operations lead,,nightly,60,medium,1,
NB-HR-01,HR and payroll (SaaS),Northbrook,external SaaS,source system,monthly extract,restricted-personal,personal data stays in the regions approved by HR policy,HR systems lead,,monthly,20,medium,1,Out of scope for analytics migration unless HR approves fields and regions.
GRP-MDM-01,Group product and price master,Group,on-premises (tables inside NB-DW-01),master data,batch,confidential,none,Group pricing manager,,daily by 06:00,4,high,2,Twelve upstream Conduit jobs. Documented consumers: Beacon (via NB-AZ-SQL) and the ERP pricing export. Other consumers unknown.
GRP-INT-01,Integration bus and managed file transfer,Group,on-premises (Ashcombe data centre),integration,scheduled,confidential,none,Integration lead,,per schedule,,high,2,SFTP and message routing between estates.
VC-ERP-01,Vale ERP (cloud SaaS),Vale,external SaaS,source system,transactional,confidential,none,Vale ERP owner,600,n/a (source),,high,1,
VC-LH-01,Vale lakehouse workspace,Vale,AWS (Vale account),lakehouse platform,batch + streaming + SQL,confidential,none,Vale data lead,80,per pipeline,9000,high,6,"Own Unity Catalog metastore, own cloud account, own identity provider (VC-IDP-01)."
VC-PIPE-01,Vale ingestion pipelines,Vale,AWS (Vale account),pipeline,batch + streaming,confidential,none,Vale data lead,,hourly to daily,,high,2,About 120 pipelines.
VC-ML-01,Vale demand forecast,Vale,AWS (Vale account),ML job,weekly batch,confidential,none,Vale planning lead,6,weekly (Sunday night),,medium,1,Documented inputs: Vale order history from VC-LH-01. Other inputs not documented.
VC-BI-01,Vale dashboards,Vale,AWS (Vale account),BI,interactive,confidential,none,Vale data lead,80,daily,,medium,1,About 60 dashboards on the platform's own dashboarding.
VC-QA-01,Vale supplier quality analytics,Vale,AWS (Vale account),analytics product,daily batch,confidential (shared with suppliers),none,Vale quality lead,3 external suppliers + 20 internal,daily,,medium,2,Shared to three external suppliers through recipient-scoped governed sharing today.
VC-IDP-01,Vale identity provider,Vale,external (Vale tenant),identity,n/a,internal,none,Vale security lead,,n/a,,high,1,Separate from the Northbrook directory. No trust relationship today.
TR-MAINT-01,Signalling maintenance records,Tessaly,on-premises (Nordland hall),source system,transactional,restricted-residency,must remain in the Nordland jurisdiction (fictional); regulator-controlled,Tessaly compliance lead,40,n/a (source),300,high,1,Regulator classification. See disclosures for what the classification covers.
TR-GCP-01,Telemetry archive,Tessaly,Google Cloud (in-jurisdiction region),storage/archive,batch append,restricted-residency,must remain in the Nordland jurisdiction (fictional),Tessaly engineering lead,5,daily append,25000,medium,1,Archive only. No analytics platform on top of it today.
TR-RPT-01,Regulatory reporting,Tessaly,on-premises (Nordland hall),reporting,quarterly,restricted-residency,must remain in the Nordland jurisdiction (fictional),Tessaly compliance lead,4,quarterly,,high,2,
TR-FIN-01,Tessaly finance extract to group,Tessaly,on-premises to GRP-INT-01,integration,monthly batch,confidential-financial (aggregated),aggregated totals; classification to be confirmed,Tessaly finance lead,,monthly,0.1,medium,1,Aggregated totals only; no asset identifiers.
