machine_id,prediction_time,event_at,label_time,label
PR-01,2026-03-02T09:00:00Z,,2026-03-02T13:00:00Z,0
PR-01,2026-03-02T11:00:00Z,2026-03-02T14:10:00Z,2026-03-02T14:10:00Z,1
PR-01,2026-03-02T11:45:00Z,2026-03-02T14:10:00Z,2026-03-02T14:10:00Z,1
PR-01,2026-03-02T12:45:00Z,2026-03-02T14:10:00Z,2026-03-02T14:10:00Z,1
PR-02,2026-03-02T09:00:00Z,,2026-03-02T13:00:00Z,0
PR-02,2026-03-02T10:15:00Z,,2026-03-02T14:15:00Z,0
PR-02,2026-03-02T12:45:00Z,,2026-03-02T16:45:00Z,0
PR-03,2026-03-02T09:00:00Z,,2026-03-02T13:00:00Z,0
PR-03,2026-03-02T10:20:00Z,,2026-03-02T14:20:00Z,0
PR-03,2026-03-02T13:00:00Z,,2026-03-02T17:00:00Z,0
PR-03,2026-03-02T13:30:00Z,,2026-03-02T17:30:00Z,0
