delivery_id,received_at,source_id,channel,event_id,inspection_id,version,plant,line,business_day,inspected_units,defective_units,branch,note
D1,2026-03-03T01:10:00,S03,erp_nightly_extract,ev1,A,1,North,L1,2026-03-02,10,1,main,first export of the day
D1,2026-03-03T01:10:00,S03,erp_nightly_extract,ev1,A,1,North,L1,2026-03-02,10,1,main,same event re-exported by the package retry
D1,2026-03-03T01:10:00,S03,erp_nightly_extract,ev2,B,1,North,L2,2026-03-02,-3,1,main,negative inspected quantity
D2,2026-03-03T06:40:00,S04,qc_corrections_csv,ev3,A,2,North,L1,2026-03-02,12,1,main,approved correction of A
D1,2026-03-03T01:10:00,S03,erp_nightly_extract,ev4,C,1,North,L1,2026-03-02,8,0,main,
D3,2026-03-03T11:15:00,S03,erp_manual_rerun,ev-late,A,1,North,L1,2026-03-02,10,1,main,late re-export; agrees with ev1; older than version 2
D3,2026-03-03T11:15:00,S03,erp_manual_rerun,ev10,E,1,East,L3,2026-03-02,20,2,main,East arrives after the overnight block
D3,2026-03-03T11:15:00,S03,erp_manual_rerun,ev11,F,1,East,L3,2026-03-02,15,0,main,
D3,2026-03-03T11:15:00,S03,erp_manual_rerun,ev12,G,1,East,L4,2026-03-02,9,3,main,the batch the 8 a.m. meeting should have seen
D6,2026-03-03T11:40:00,S03,erp_manual_rerun,ev12,G,1,East,L4,2026-03-02,9,3,main,East step re-run once more; same event delivered again
D8,2026-03-04T01:10:00,S03,erp_nightly_extract,ev20,J,1,North,L1,2026-03-03,11,0,main,clean night
D8,2026-03-04T01:10:00,S03,erp_nightly_extract,ev21,K,1,North,L2,2026-03-03,9,1,main,
D8,2026-03-04T01:10:00,S03,erp_nightly_extract,ev22,L,1,North,L1,2026-03-03,10,0,main,
D8,2026-03-04T01:10:00,S03,erp_nightly_extract,ev23,M,1,East,L4,2026-03-03,7,9,main,defective exceeds inspected
D8,2026-03-04T01:10:00,S03,erp_nightly_extract,ev24,N,1,East,L3,2026-03-03,12,1,main,
D4,2026-03-06T06:35:00,S04,qc_corrections_csv,ev5,A,3,North,L1,2026-03-02,14,1,main,Friday approved corrections file
D4,2026-03-06T06:35:00,S04,qc_corrections_csv,ev13,F,2,East,L3,2026-03-02,15,1,main,recheck found one defect
D5,2026-03-06T06:50:00,S04,qc_corrections_csv,ev5,A,3,North,L1,2026-03-02,14,1,main,exact re-send of the D4 file
D5,2026-03-06T06:50:00,S04,qc_corrections_csv,ev13,F,2,East,L3,2026-03-02,15,1,main,exact re-send of the D4 file
X1,2026-03-04T06:40:00,S04,qc_corrections_csv,ev-other,A,2,North,L1,2026-03-02,13,1,what-if-conflict,re-typed row at the same revision; apply to the verified 20/1 baseline in a fresh simulation
