oven_id,day,date,oven_age_years,days_since_service,temp_mean_c,temp_max_c,door_cycles,humidity_pct,fault_next_24h,repair_minutes,fault_code
O-01,1,2026-03-02,2.5,11,207.9,212.9,62,43.8,0,0,
O-02,1,2026-03-02,4.0,9,207.2,214.5,84,47.9,1,208,F-DOOR
O-03,1,2026-03-02,6.5,25,213.7,215.5,51,43.7,0,0,
O-04,1,2026-03-02,8.0,13,209.6,213.5,27,51.2,0,0,
O-05,1,2026-03-02,3.0,6,201.1,204.0,45,42.5,0,0,
O-06,1,2026-03-02,9.5,25,218.2,219.6,40,42.4,0,0,
O-07,1,2026-03-02,5.5,1,204.2,205.0,63,43.3,0,0,
O-08,1,2026-03-02,11.0,27,218.3,218.5,61,41.8,0,0,
O-01,2,2026-03-03,2.5,12,210.9,220.0,62,38.8,1,196,F-DOOR
O-02,2,2026-03-03,4.0,0,203.8,211.0,56,43.7,0,0,
O-03,2,2026-03-03,6.5,26,213.2,216.3,72,41.1,1,75,F-DOOR
O-04,2,2026-03-03,8.0,14,211.5,215.5,73,46.5,0,0,
O-05,2,2026-03-03,3.0,7,200.1,202.4,48,41.7,0,0,
O-06,2,2026-03-03,9.5,26,215.8,225.8,74,48.6,1,81,F-DOOR
O-07,2,2026-03-03,5.5,2,204.8,206.5,84,43.6,0,0,
O-08,2,2026-03-03,11.0,28,219.3,226.0,47,43.3,0,0,
O-01,3,2026-03-04,2.5,0,203.7,207.6,57,46.5,0,0,
O-02,3,2026-03-04,4.0,1,204.0,207.3,68,45.0,0,0,
O-03,3,2026-03-04,6.5,0,209.8,210.8,66,45.7,0,0,
O-04,3,2026-03-04,8.0,15,211.9,214.8,74,47.5,0,0,
O-05,3,2026-03-04,3.0,8,198.3,204.6,59,47.5,0,0,
O-06,3,2026-03-04,9.5,0,211.5,214.0,54,41.5,0,0,
O-07,3,2026-03-04,5.5,3,203.6,204.6,51,46.4,0,0,
O-08,3,2026-03-04,11.0,29,218.8,226.3,65,45.1,1,112,F-DOOR
O-01,4,2026-03-05,2.5,1,207.4,213.1,74,45.0,0,0,
O-02,4,2026-03-05,4.0,2,205.7,211.7,24,42.3,0,0,
O-03,4,2026-03-05,6.5,1,209.4,209.4,62,48.6,0,0,
O-04,4,2026-03-05,8.0,16,211.1,214.6,69,46.2,0,0,
O-05,4,2026-03-05,3.0,9,201.8,204.7,38,47.2,0,0,
O-06,4,2026-03-05,9.5,1,213.4,215.1,60,42.1,0,0,
O-07,4,2026-03-05,5.5,4,203.9,206.5,52,44.0,0,0,
O-08,4,2026-03-05,11.0,0,215.5,221.0,45,42.4,0,0,
