dependency_id,from_system,to_system,description,interface,frequency,documented_in,owner_confirmed,note
DEP-01,NB-ERP-01,NB-DW-01,ERP extract feeds the warehouse,nightly extract files via GRP-INT-01,nightly,Conduit job catalogue,yes,
DEP-02,NB-MES-ASH,NB-DW-01,Ashcombe MES events land in warehouse staging,file drop,every 15 minutes,Plant IT runbook,yes,
DEP-03,NB-MES-COR,NB-DW-01,Corvane MES events land in warehouse staging,file drop,every 15 minutes,Plant IT runbook,yes,
DEP-04,NB-DW-01,NB-AZ-LAKE,Warehouse extracts to Azure landing storage,SFTP via GRP-INT-01,nightly,Conduit job catalogue,yes,
DEP-05,NB-AZ-LAKE,NB-AZ-SQL,Landing files loaded into the reporting database,scheduled load,nightly,Azure runbook,yes,
DEP-06,NB-AZ-SQL,NB-BI-01,Beacon semantic model reads the reporting database,BI connector,daily refresh 06:30,BI service configuration,yes,
DEP-07,NB-DW-01,NB-FIN-01,Close pack macros read Granite views,ODBC from workstations,monthly,Finance close checklist,yes,"Views v_fin_gl_daily and v_fin_ship_month"
DEP-08,NB-DW-01,NB-DASH-01,Line Pulse reads MES staging tables,direct SQL,every 15 minutes,Plant IT runbook,yes,
DEP-09,NB-CRM-01,NB-DW-01,CRM extract,API pull via GRP-INT-01,nightly,Conduit job catalogue,yes,
DEP-10,NB-HR-01,NB-DW-01,HR headcount extract (aggregated),SFTP via GRP-INT-01,monthly,Conduit job catalogue,no,"Owner to confirm which fields are present"
DEP-11,GRP-MDM-01,NB-BI-01,Price list dimension in the semantic model,via NB-AZ-SQL,daily,BI service configuration,yes,
DEP-12,GRP-MDM-01,NB-ERP-01,Order pricing export back to the ERP,file export via GRP-INT-01,daily,Conduit job catalogue,yes,
DEP-13,VC-ERP-01,VC-PIPE-01,Vale ERP orders ingested,managed connector,hourly,Vale pipeline catalogue,yes,
DEP-14,VC-PIPE-01,VC-LH-01,Pipelines write governed tables,platform,hourly to daily,Vale pipeline catalogue,yes,
DEP-15,VC-LH-01,VC-BI-01,Vale dashboards read governed tables,platform SQL,daily,Vale pipeline catalogue,yes,
DEP-16,VC-LH-01,VC-ML-01,Forecast reads Vale order history,platform,weekly,Vale pipeline catalogue,yes,"Other forecast inputs are not documented"
DEP-17,VC-LH-01,VC-QA-01,Supplier quality tables,platform,daily,Vale pipeline catalogue,yes,
DEP-18,VC-QA-01,external suppliers (3),Governed share to suppliers,recipient-scoped governed sharing,daily,Vale sharing register,yes,
DEP-19,VC-IDP-01,VC-LH-01,Vale identities authenticate to the workspace,identity federation,continuous,Vale security baseline,yes,
DEP-20,TR-MAINT-01,TR-RPT-01,Maintenance records feed regulatory reports,on-premises SQL,quarterly,Tessaly compliance procedure,yes,
DEP-21,TR-GCP-01,TR-RPT-01,Telemetry archive queried for reports,export within the jurisdiction,quarterly,Tessaly compliance procedure,yes,
DEP-22,TR-FIN-01,GRP-INT-01,Aggregated finance totals sent to group,SFTP,monthly,Integration schedule,yes,
DEP-23,GRP-INT-01,NB-DW-01,Group loads Tessaly finance totals,file load,monthly,Conduit job catalogue,yes,
DEP-24,NB-DW-01,VC-LH-01,Three conformed dimensions copied to Vale,CSV over SFTP via GRP-INT-01,weekly,Integration schedule,no,"Set up during acquisition integration; consumer inside Vale unconfirmed"
