event_id,plant_id,inspection_id,version,revised_at,inspected_units,defective_units,note
e01,CL-N,A,1,2026-09-01,10,1,
e02,CL-N,A,2,2026-09-03,12,1,
e03,CL-N,B,1,2026-09-01,-3,1,
e04,CL-S,C,1,2026-09-02,8,0,
e05,CL-S,D,1,2026-09-02,twelve,0,units typed by hand
e06,CL-S,E,1,2026-09-02,5,7,
e07,CL-N,F,1,2026-09-04,0,0,
e08,CL-N,,1,2026-09-04,9,0,
e09,CL-W,G,1,2026-09-04,6,1,
e10,CL-S,H,1,2026-09-05,20,2,
e11,CL-S,H,1,2026-09-05,21,2,
e04,CL-S,C,1,2026-09-02,8,0,
e13,CL-N,J,1,2026-09-06,15,1,
e14,CL-N,J,2,2026-09-05,16,1,
e15,CL-S,K,1,2026-09-06,,0,
e16,CL-S,L,0,2026-09-06,4,-1,
e17,CL-S,M,1,2026/09/06,4,0,
e18,CL-S,N,1,2026-09-06,30,3,resampled
e19,CL-S,N,2,2026-09-07,31,3,
e02,CL-N,Z,1,2026-09-03,12,1,
