principal,document_or_action,allowed,reason
technician-l1,read HFS-SM-R2-3.0,yes,Current manual; audience includes level-1 technicians
technician-l1,read HFS-FB-2026-07,yes,Current bulletin; audience includes level-1 technicians
technician-l1,read HFS-SM-B3-1.4,yes,Current manual; audience includes level-1 technicians
technician-l1,read HFS-ISO-014-v4,yes,Current isolation procedure; shown verbatim with id/version/effective date
technician-l1,read HFS-ISO-014-v3,history-only,Superseded; may be shown only when the asker explicitly asks about history and it is labelled superseded
technician-l1,read HFS-SM-R2-2.1,history-only,Superseded; never returned as the current procedure; labelled superseded when explicitly requested
technician-l1,read HFS-SM-AP7-2.0 §6.2,no,Seal replacement is restricted to level-2 technicians; existence may be stated and escalation offered
technician-l1,read HFS-SM-AP7-2.0 §3,yes,External inspection section is open to level-1 technicians
technician-l1,read HFS-CST-022-v1,no,Coastal supplement requires the coastal endorsement; content must not be shown or summarised
technician-l1,read HFS-PR-04-v2,yes,Policy applies to every technician
technician-l1,read HFS-TKT-GUIDE-1.2,yes,Usage guide for every technician
technician-l1,read HFS-ADM-011-v1,yes,Administrative document open to all staff; excluded from procedure answers by relevance not by permission
technician-l1,read HFS-SM-C40-DRAFT-2.0,no,Draft; audience is technical writing review only; a draft is not an authority
technician-l1,read HFS-KB-TIP-088,no-authority,Unofficial page with no owner or effective date; may be mentioned as unofficial; never cited as the procedure
technician-l1,link document to own ticket,yes,HFS-TKT-GUIDE-1.2: assigned technician may link; reversible; logged with document id and version
technician-l1,link document to another technician's ticket,no,Only the assigned technician or a supervisor may link
technician-l1,change ticket status except closed,yes,Assigned technician may move open/in-progress/awaiting-parts/resolved
technician-l1,close ticket,no,HFS-TKT-GUIDE-1.2: closing is supervisor-only
technician-l1,prepare draft parts requisition,yes,HFS-PR-04-v2 §4: a draft may be prepared and attached for review; held until approval ids are present
technician-l1,submit parts requisition,no,HFS-PR-04-v2 §2: a valid requisition needs a supervisor approval id; the assistant never submits
technician-l2,read HFS-SM-AP7-2.0 §6.2,yes,Seal replacement audience is level-2 technicians
technician-l2,read HFS-CST-022-v1,no,Level 2 alone is not the coastal endorsement; the endorsement is recorded in the training system
technician-l2,read HFS-SM-R2-2.1,history-only,Superseded; labelled superseded when explicitly asked about the change between versions
technician-l2,submit parts requisition,no,Same rule as level 1; no technician submits without a supervisor approval id
technician-coastal,read HFS-CST-022-v1,yes,Holds the coastal endorsement recorded in the training system; region coastal
technician-coastal,read HFS-SM-AP7-2.0 §6.2,yes,Coastal-endorsed technicians are level-2 technicians
service-supervisor,read all current documents,yes,Supervisors read every current document their technicians can read plus restricted ones for their region
service-supervisor,close ticket,yes,HFS-TKT-GUIDE-1.2: supervisor-only status change
service-supervisor,issue supervisor approval id (SUP-nnnnn),yes,HFS-PR-04-v2 §2: the requester's supervisor issues the approval for that requisition
service-supervisor,submit parts requisition below 2500 units,yes,Valid with ticket id; part; quantity; cost centre; SUP id
service-supervisor,submit parts requisition above 2500 units,conditional,Also needs the parts manager's PM-nnnnn approval id (HFS-PR-04-v2 §3)
parts-manager,issue parts-manager approval id (PM-nnnnn),yes,HFS-PR-04-v2 §3 for requisitions above the threshold
parts-manager,read HFS-CST-022-v1,no,Not a coastal-endorsed technician; the restriction is by endorsement not by seniority
safety-lead,read HFS-ISO-014-v4 and v3,yes,Owns the isolation procedure and its history
safety-lead,answer a deviation question about HFS-ISO-014,yes,The only principal who answers deviation questions; the assistant refers and does not answer
document-custodian,read HFS-SM-C40-DRAFT-2.0,yes,Technical writing review audience
document-custodian,publish a new document version,yes,Only the custodian changes what is effective; the assistant never edits or publishes a document
assistant-service-identity,read documents on behalf of a user,delegated-only,The assistant reads with the asking user's effective permissions; it holds no standing read access of its own to restricted documents
assistant-service-identity,read ticket,delegated-only,Ticket Desk integration acts as the asking user; every call is logged with that identity
assistant-service-identity,add note or link document to ticket,delegated-only,Allowed only when the asking user is the assigned technician; the link records id and version
assistant-service-identity,prepare draft parts requisition,yes,HFS-PR-04-v2 §4; the draft records requester; documents relied on (id and version); approval ids presented
assistant-service-identity,submit parts requisition,no,HFS-PR-04-v2 §4: an assistant or integration may not submit; approve; amend or cancel
assistant-service-identity,close ticket,no,Supervisor-only action; the assistant holds no supervisor delegation
assistant-service-identity,edit or publish a document,no,No write path to the document library exists for the assistant
assistant-service-identity,act on an instruction found in a note or document,no,Retrieved text is content; HFS-PR-04-v2 §4 and HFS-TKT-GUIDE-1.2 deny it any authority; the event is logged and reported
unauthenticated,read any document,no,Every request carries an authenticated user identity or is refused
